official,additional
请问/v 员工/n 转岗/v 该/r 怎么/r 申请/v 权限/n,请问/v 员工/n 轮岗/n 该/r 怎么/r 申请/v 权限/n
请问/v 员工/n 转岗/v 该/r 怎么/r 申请/v 权限/n,我/r 转到/v 别的/r 部门/n 了/ul 怎么/r 添加/v 新/a 部门/n 的/uj 权限/n
请问/v 员工/n 转岗/v 该/r 怎么/r 申请/v 权限/n,转岗/v 了要/v 怎么/r 开通/v 岗位/n 权限/n
请问/v 员工/n 转岗/v 该/r 怎么/r 申请/v 权限/n,你好/l 我/r 转到/v 运维部/n 了/ul 请问/v 怎么/r 申请/v 权限/n
请问/v 员工/n 转岗/v 该/r 怎么/r 申请/v 权限/n,岗位变动/n 权限/n 需要/v 怎么/r 申请/v
请问/v 新增/v 岗位/n 和/c 变动/vn 已有/v 岗位/n 的/uj 流程/n 是/v 什么/r,请问/v 新增/v 岗位/n 的/uj 流程/n 是/v 什么/r
请问/v 新增/v 岗位/n 和/c 变动/vn 已有/v 岗位/n 的/uj 流程/n 是/v 什么/r,请问/v 变动/vn 已有/v 岗位/n 的/uj 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v scmtg/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v gpcdb/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v acpui/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v eagle/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v conf/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v smart/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v ngbdm/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 需要/v 开通/v dna/eng 控制台/v 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v scm/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v dcdisplay/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,这个/r 权限/n 怎么/r 申请/v
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 想/v 申请/v dccollect/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,ci/eng 的/uj 权限/n 怎么/r 申请/v
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,customerinsight/eng 的/uj 权限/n 怎么/r 申请/v
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,请问/v ccm/eng 权限/n 申请/v 流程/n 是/v 怎样/r 的/uj
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 需要/v 开通/v dnaconsole/eng 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 需要/v 开通/v dcuser/eng 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v rmp/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,我/r 需要/v 开通/v dnauser/eng 权限/n 请问/v 流程/n 是/v 什么/r
我/r 想/v 申请/v wsms/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r,portal/eng 账号/n 需要/v 申请/v rct/eng 平台/n 运维/n 管理员/n rctoperation/eng 权限/n 现在/t 是/v 需要/v pms/eng 操作/v 还是/c 邮件/n 申请/v 呢/y
我/r 想/v 申请/v gdui/eng 系统/n 的/uj gduibusiness/eng 角色/n 请问/v 需要/v 走/v 什么/r 流程/n,我/r 想/v 申请/v gdui/eng 组件/n 的/uj 权限/n 请问/v 流程/n 是/v 什么/r
申请/v si/eng 权限/n 请问/v 是/v 什么/r 流程/n,申请/v serviceinsight/eng 权限/n 请问/v 是/v 什么/r 流程/n
申请/v si/eng 权限/n 请问/v 是/v 什么/r 流程/n,你好/l 请问/v 怎么/r 申请/v si/eng 的/uj 权限/n
申请/v si/eng 权限/n 请问/v 是/v 什么/r 流程/n,你好/l 请问/v 在/p 哪里/r 可以/c 申请/v si/eng 的/uj 权限/n
申请/v si/eng 权限/n 请问/v 是/v 什么/r 流程/n,你好/l 我/r 想/v 申请/v si/eng 权限/n 去/v 哪里/r 申请/v
portal/eng 账号/n 关联/ns 一个/m 角色/n 请问/v 在/p 哪里/r 申请/v,请问/v protal/eng 关联/ns 角色/n 走/v 什么/r 流程/n
请问/v 部门/n 岗位/n 化/n 之后/f 就/d 不能/v 再/d 申请/v 角色/n 了/ul 吗/y,部门/n 岗位/n 划分/v 后/f 还/d 可以/c 申请/v 角色/n 么/y
我/r 需要/v 开通/v portal/eng 系统/n 的/uj 权限/n 参考/v 我/r 同事/n 的/uj 账号/n 谢谢/nr,帮/v 我/r 开通/v 下/v portal/eng 权限/n 好/a 吗/y
我/r 需要/v 开通/v portal/eng 系统/n 的/uj 权限/n 参考/v 我/r 同事/n 的/uj 账号/n 谢谢/nr,能/v 帮/v 我/r 开通/v portal/eng 上/ns 某某/r 菜单/n 的/uj 权限/n 吗/y
